# 特殊字元 / 清理報表 — 海岸阿美語 (dialectId=3, lang_code=ami-coastal)
# 統計
{
  "total_xml": 1094,
  "valid": 1094,
  "skipped_placeholder": 0,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 299,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1094,
  "apostrophe_words": 262,
  "slash_words": 161,
  "caret_words": 3,
  "special_chars": {
    "ʼ": 193,
    "/": 161,
    "’": 69,
    "^": 3,
    ":": 3,
    ")": 2,
    "數": 2,
    "(": 2,
    "物": 1,
    "人": 1,
    "…": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 26-77	餵食	'pakaen/pariri’/pacoma'	正式拼寫特殊字:/’
[FORMAL] 26-79	撬開	'kowad/ngiwal'	正式拼寫特殊字:/
[FORMAL] 26-80	(用腳)踏	'ripaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-85	揉搓(衣物)	'lotlot/powapo’'	正式拼寫特殊字:/’
[FORMAL] 26-86	靠著	'micangeray/micingray'	正式拼寫特殊字:/
[FORMAL] 26-87	鞭打	'sapedec/pacpac'	正式拼寫特殊字:/
[FORMAL] 26-90	捻線	'mikaʼered'	正式拼寫特殊字:ʼ
[FORMAL] 26-91	剪	'sa’it/kalatim'	正式拼寫特殊字:/’
[FORMAL] 26-93	招手	'kawih/wangawang'	正式拼寫特殊字:/
[FORMAL] 26-94	剁切	'tonton/cikcik'	正式拼寫特殊字:/
[FORMAL] 26-95	搗	'tifek/talik'	正式拼寫特殊字:/
[FORMAL] 26-96	打架	'malapalo/malahodot'	正式拼寫特殊字:/
[FORMAL] 26-99	拉(上來)	'taroh/tengteng'	正式拼寫特殊字:/
[FORMAL] 26-101	剝樹皮	'mitolak/mipodac'	正式拼寫特殊字:/
[FORMAL] 26-103	隨意	'simaanay/patelas'	正式拼寫特殊字:/
[FORMAL] 27-02	吸	'helip/helop'	正式拼寫特殊字:/
[FORMAL] 27-04	吐	'mota’/ota’'	正式拼寫特殊字:/’
[FORMAL] 27-06	吞嚥	'mero/’enoc'	正式拼寫特殊字:/’
[FORMAL] 27-07	吞下	'ta’emod'	正式拼寫特殊字:’
[FORMAL] 27-09	噎到	'si’ed/’iyak'	正式拼寫特殊字:/’
[FORMAL] 27-12	渴	'soʼaw'	正式拼寫特殊字:ʼ
[FORMAL] 27-13	啃	'ʼitʼit'	正式拼寫特殊字:ʼ
[FORMAL] 28-01	遇到	'tatikeda/malitemoh'	正式拼寫特殊字:/
[FORMAL] 28-02	知道	'mafanaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 28-07	聞(如聞味道)	'sanek/hanek'	正式拼寫特殊字:/
[FORMAL] 28-09	邀請	'tahidang/dingta'	正式拼寫特殊字:/
[FORMAL] 28-10	思念	'kacipinang/ma’ilol'	正式拼寫特殊字:/’
[FORMAL] 28-11	告訴(別人)	'pakafana’/pasowal'	正式拼寫特殊字:/’
[MEMO?] 28-12	叫喚(如餵雞前會叫喚)	'tototo…'	疑似備註字元:…
[FORMAL] 28-15	相信	'pakaso’elin'	正式拼寫特殊字:’
[FORMAL] 28-16	謾罵	'mikaketer/mapowi’'	正式拼寫特殊字:/’
[FORMAL] 28-17	觸碰(如碰觸到身體)	'kapa/tefing'	正式拼寫特殊字:/
[FORMAL] 28-18	回應	'paca’of/pacako'	正式拼寫特殊字:/’
[FORMAL] 28-24	教(如教人寫字)	'pasifanaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 28-26	觀察	'mitapal/mihapinang'	正式拼寫特殊字:/
[FORMAL] 28-27	會(做某事)	'mafanaʼ'	正式拼寫特殊字:ʼ
