# 特殊字元 / 清理報表 — 萬山魯凱語 (dialectId=32, lang_code=dru-mantauran)
# 統計
{
  "total_xml": 1094,
  "valid": 1092,
  "skipped_placeholder": 2,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 297,
    "4": 302
  },
  "cleaned": 0,
  "with_image": 602,
  "with_audio": 1092,
  "apostrophe_words": 429,
  "slash_words": 4,
  "caret_words": 0,
  "special_chars": {
    "ʼ": 401,
    "’": 24,
    ")": 12,
    "(": 12,
    "'": 6,
    "/": 4,
    "-": 4,
    ";": 2,
    "?": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 24-12	結婚	'ʼacakelae'	正式拼寫特殊字:ʼ
[FORMAL] 24-13	各色各樣	'maʼakaelela'	正式拼寫特殊字:ʼ
[FORMAL] 24-15	用途	'ʼahaki'	正式拼寫特殊字:ʼ
[FORMAL] 24-16	婚姻	'taʼacakelanae'	正式拼寫特殊字:ʼ
[FORMAL] 24-17	遲到	'ʼolriya'	正式拼寫特殊字:ʼ
[FORMAL] 25-04	打開	'ʼoleva'	正式拼寫特殊字:ʼ
[FORMAL] 25-07	給	'voaʼi'	正式拼寫特殊字:ʼ
[FORMAL] 25-08	來	'maavaʼi'	正式拼寫特殊字:ʼ
[FORMAL] 25-09	借	'ʼipasolriya'	正式拼寫特殊字:ʼ
[FORMAL] 25-12	飛	'ʼinipalai'	正式拼寫特殊字:ʼ
[FORMAL] 25-15	送(客人)	'ʼoetedha'	正式拼寫特殊字:ʼ
[FORMAL] 25-17	進入	'moʼadhingi'	正式拼寫特殊字:ʼ
[FORMAL] 25-18	（物品）翻倒	'’inilakocai'	正式拼寫特殊字:’
[FORMAL] 25-21	折返	'ʼoilri'	正式拼寫特殊字:ʼ
[FORMAL] 25-24	贈送(禮物)	'ʼapaamece'	正式拼寫特殊字:ʼ
[FORMAL] 25-25	沿著山巒	'ʼanoholroholrolo'	正式拼寫特殊字:ʼ
[FORMAL] 25-29	越溪而過	'ʼeceve'	正式拼寫特殊字:ʼ
[FORMAL] 25-30	向人家要(東西)	'ʼivaʼai'	正式拼寫特殊字:ʼ
[FORMAL] 25-32	走(向某個方向)	'papiʼa'	正式拼寫特殊字:ʼ
[FORMAL] 25-35	追	'solalraʼa'	正式拼寫特殊字:ʼ
[FORMAL] 25-36	趕上	'toʼipalra'	正式拼寫特殊字:ʼ
[MEMO?] 25-40	穿(如穿衣服)	'ʼi(kipingi)'	疑似備註字元:()
[FORMAL] 25-40	穿(如穿衣服)	'ʼi(kipingi)'	正式拼寫特殊字:ʼ
[MEMO?] 25-41	戴(如戴帽子)	'ʼi(tolropongo)'	疑似備註字元:()
[FORMAL] 25-41	戴(如戴帽子)	'ʼi(tolropongo)'	正式拼寫特殊字:ʼ
[FORMAL] 25-44	站著	'idhiʼi'	正式拼寫特殊字:ʼ
[FORMAL] 25-46	要來	'amokaavaʼi'	正式拼寫特殊字:ʼ
[FORMAL] 25-47	來過	'maavaʼinga'	正式拼寫特殊字:ʼ
[FORMAL] 26-06	玩球	'ʼosahiyo'	正式拼寫特殊字:ʼ
[FORMAL] 26-14	砍伐	'mohingaʼato'	正式拼寫特殊字:ʼ
[FORMAL] 26-15	搖動	'ʼaeleele'	正式拼寫特殊字:ʼ
[FORMAL] 26-18	抓癢	'kokaʼao'	正式拼寫特殊字:ʼ
[FORMAL] 26-22	敲碎	"opo'apo'ai"	正式拼寫特殊字:'
[FORMAL] 26-28	吹	'voʼoto'	正式拼寫特殊字:ʼ
[FORMAL] 26-35	揹負(物品)	'ʼodho'	正式拼寫特殊字:ʼ
[FORMAL] 26-36	分(東西)	'maʼavi'	正式拼寫特殊字:ʼ
[FORMAL] 26-41	扯斷	'ongoto’o'	正式拼寫特殊字:’
[FORMAL] 26-44	捆綁	'’evehe'	正式拼寫特殊字:’
[FORMAL] 26-46	拔除	'ʼotoloso'	正式拼寫特殊字:ʼ
[FORMAL] 26-48	散撒	'maʼosahave'	正式拼寫特殊字:ʼ
[FORMAL] 26-59	晃動	'ʼinisaliyaliyadhe'	正式拼寫特殊字:ʼ
[FORMAL] 26-61	涉水而過	'ʼeceve'	正式拼寫特殊字:ʼ
[FORMAL] 26-64	採收	'ʼitaleke'	正式拼寫特殊字:ʼ
[FORMAL] 26-65	(將器具)磨利	'liʼiliʼi'	正式拼寫特殊字:ʼ
[FORMAL] 26-66	(搖)動	'ʼaeleelele'	正式拼寫特殊字:ʼ
[FORMAL] 26-67	追捕	'solalraʼa'	正式拼寫特殊字:ʼ
[FORMAL] 26-69	倒(下)	'ʼinicakolai'	正式拼寫特殊字:ʼ
[FORMAL] 26-70	扭轉	'ʼinipalrici'	正式拼寫特殊字:ʼ
[FORMAL] 26-74	割	'keʼete'	正式拼寫特殊字:ʼ
[FORMAL] 26-75	掐住	'ceʼelre'	正式拼寫特殊字:ʼ
[FORMAL] 26-81	壓扁	'caʼilripi'	正式拼寫特殊字:ʼ
[FORMAL] 26-82	剝皮	'ʼopicingi'	正式拼寫特殊字:ʼ
[MEMO?] 26-83	擦(如口紅；油漆)	'po-(kocibilre; pingki)'	疑似備註字元:();
[FORMAL] 26-83	擦(如口紅；油漆)	'po-(kocibilre; pingki)'	正式拼寫特殊字:-
[FORMAL] 26-86	靠著	'ʼotalo'	正式拼寫特殊字:ʼ
[FORMAL] 26-88	側臥	'ʼahoʼiiʼidhiʼi'	正式拼寫特殊字:ʼ
[FORMAL] 26-90	捻線	'coiʼi'	正式拼寫特殊字:ʼ
[FORMAL] 26-95	搗	'ʼolrovoʼo'	正式拼寫特殊字:ʼ
[FORMAL] 26-96	打架	'maʼoloco'	正式拼寫特殊字:ʼ
[FORMAL] 26-103	隨意	'toʼonai'	正式拼寫特殊字:ʼ
[FORMAL] 26-105	起立	'ʼinicekala'	正式拼寫特殊字:ʼ
[FORMAL] 27-03	喝	'ʼongolo'	正式拼寫特殊字:ʼ
[FORMAL] 27-04	吐	'ʼoadhe'	正式拼寫特殊字:ʼ
[FORMAL] 27-05	咬	'ʼelrate'	正式拼寫特殊字:ʼ
[FORMAL] 27-06	吞嚥	'lreʼedhe'	正式拼寫特殊字:ʼ
[FORMAL] 27-07	吞下	'lreʼedha'	正式拼寫特殊字:ʼ
[FORMAL] 27-09	噎到	'ʼoelreʼe'	正式拼寫特殊字:ʼ
