# 特殊字元 / 清理報表 — 恆春阿美語 (dialectId=5, lang_code=ami-hengchun)
# 統計
{
  "total_xml": 1094,
  "valid": 1093,
  "skipped_placeholder": 1,
  "levels": {
    "1": 256,
    "2": 237,
    "3": 298,
    "4": 302
  },
  "cleaned": 1,
  "with_image": 602,
  "with_audio": 1093,
  "apostrophe_words": 278,
  "slash_words": 132,
  "caret_words": 13,
  "special_chars": {
    "ʼ": 261,
    "/": 132,
    "’": 16,
    "^": 13,
    ")": 4,
    "(": 4,
    ";": 3,
    "…": 3,
    ",": 3,
    "孩": 1,
    "小": 1,
    "帶": 1,
    "\\": 1,
    "揹": 1,
    ":": 1,
    "'": 1,
    "紅": 1,
    "口": 1,
    ".": 1
  }
}

# 逐筆（CLEAN=備註滲入已清理 / SPECIAL=保留的正式拼寫特殊字 / EMPTY=清理後為空）
[FORMAL] 26-17	發抖	'mirmir / tirtir'	正式拼寫特殊字:/
[FORMAL] 26-19	爬上(去)	'mikocakoc/mikodapol'	正式拼寫特殊字:/
[FORMAL] 26-20	仰躺	'tiʼenang/wakang'	正式拼寫特殊字:/ʼ
[FORMAL] 26-23	扛	'tamolong/ʼorong'	正式拼寫特殊字:/ʼ
[FORMAL] 26-27	抱著	'ʼafofo'	正式拼寫特殊字:ʼ
[FORMAL] 26-37	剖切	'peciʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-38	綁住	'soʼot'	正式拼寫特殊字:ʼ
[FORMAL] 26-40	劈(木材)	'pelaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-41	扯斷	'keton/pitek'	正式拼寫特殊字:/
[FORMAL] 26-42	提著	'tatiw/tatoy'	正式拼寫特殊字:/
[FORMAL] 26-44	捆綁	'rorongen/faloden'	正式拼寫特殊字:/
[FORMAL] 26-45	按住	'ʼenec/leken'	正式拼寫特殊字:/ʼ
[FORMAL] 26-46	拔除	'faʼenot'	正式拼寫特殊字:ʼ
[FORMAL] 26-47	挑選	'mipili / pili'	正式拼寫特殊字:/
[FORMAL] 26-49	啄	'toltol/mitoltol'	正式拼寫特殊字:/
[FORMAL] 26-50	插	'coenek/micocok'	正式拼寫特殊字:/
[FORMAL] 26-51	堆積	'taring / sa’opo'	正式拼寫特殊字:/’
[FORMAL] 26-52	搬運	'micoloʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-54	攪動	'kowako’/ riwariw'	正式拼寫特殊字:/’
[FORMAL] 26-55	壓住	'paekel/’enec'	正式拼寫特殊字:/’
[FORMAL] 26-59	晃動	'ngiyangi/cowacoʼ'	正式拼寫特殊字:/ʼ
[FORMAL] 26-69	倒(下)	'mawakang/mapolin'	正式拼寫特殊字:/
[FORMAL] 26-72	踩踏	'sakasak/ripaʼ'	正式拼寫特殊字:/ʼ
[FORMAL] 26-75	掐住	"'emec"	正式拼寫特殊字:'
[FORMAL] 26-76	壓制	'paʼeker/reken'	正式拼寫特殊字:/ʼ
[FORMAL] 26-77	餵食	'pacoma/pakaen'	正式拼寫特殊字:/
[FORMAL] 26-79	撬開	'ʼowal/ngiwat'	正式拼寫特殊字:/ʼ
[FORMAL] 26-80	(用腳)踏	'ripaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 26-81	壓扁	'piepi/penec'	正式拼寫特殊字:/
[MEMO?] 26-83	擦(如口紅；油漆)	'kocifilo(口紅) / misaditay'	疑似備註字元:()口紅
[FORMAL] 26-83	擦(如口紅；油漆)	'kocifilo(口紅) / misaditay'	正式拼寫特殊字:/
[FORMAL] 26-92	修剪(樹的枝條)	'faliw/tepoc'	正式拼寫特殊字:/
[FORMAL] 26-93	招手	'kawih/pohay'	正式拼寫特殊字:/
[FORMAL] 26-94	剁切	'tonton/cikcik'	正式拼寫特殊字:/
[FORMAL] 26-96	打架	'ʼodot'	正式拼寫特殊字:ʼ
[FORMAL] 26-97	擠	'coʼeco'	正式拼寫特殊字:ʼ
[FORMAL] 26-98	低下頭	'ʼocekoy'	正式拼寫特殊字:ʼ
[FORMAL] 26-101	剝樹皮	'midoʼicad'	正式拼寫特殊字:ʼ
[FORMAL] 27-02	吸	'helip/cepcep'	正式拼寫特殊字:/
[FORMAL] 27-04	吐	'otaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 27-07	吞下	'taʼemod'	正式拼寫特殊字:ʼ
[FORMAL] 27-09	噎到	'masied/maʼiyak'	正式拼寫特殊字:/ʼ
[FORMAL] 27-11	咀嚼	'walak/kemkem'	正式拼寫特殊字:/
[FORMAL] 27-12	渴	'soʼaw'	正式拼寫特殊字:ʼ
[FORMAL] 28-02	知道	'mafanaʼ'	正式拼寫特殊字:ʼ
[FORMAL] 28-10	思念	'maʼilol'	正式拼寫特殊字:ʼ
